src,tgt
Today is June 18th and it is Muiriel's birthday!,"오늘은 6월 18일, Muiriel의 생일입니다!"
Muiriel is 20 now.,Muiriel은 지금 20살입니다.
"The password is ""Muiriel"".","비밀번호는 ""Muiriel"" 입니다."
This is never going to end.,이건 절대 끝나지 않을거야.
I just don't know what to say.,뭐라고 말해야 할지 정말 모르겠어...
I was in the mountains.,나는 산에 있었어.
Is it a recent picture?,이 사진 최근 거에요?
I don't know if I have the time.,시간 있는지 잘 모르겠어요.
Education in this world disappoints me.,이 세상의 교육이 나를 실망시켜요.
I make €100 a day.,저는 하루에 100유로를 법니다.
It's because you don't want to be alone.,왜냐하면 당신은 혼자가 되고 싶지 않기 때문이에요.
You should sleep.,당신 좀 자야겠어요.
I'm going to go.,나는 갈 거에요.
"When I woke up, I was sad.",일어났을 때 슬펐어.
Every person who is alone is alone because they are afraid of others.,혼자인 사람은 다른 사람들을 두려워하기 때문에 혼자다.
I wish I could go to Japan.,일본에 갈 수 있었으면 좋겠어요.
I hate it when there are a lot of people.,사람 많은 게 싫어요.
I won't ask you anything else today.,오늘은 더 이상 물어보지 않겠어요.
"Even though he apologized, I'm still furious.","그가 사과를 했음에도 불구하고, 난 아직 화가 나 있어요."
"I found a solution, but I found it so fast that it can't be the right solution.",해결책을 찾았지만 너무 빨리 찾아서 맞는 답이 아닌거 같습니다.
I don't know what to do anymore.,더이상 어떻게 해야할지 모르겠어.
"It is inevitable that I go to France someday, I just don't know when.","나는 언젠가는 프랑스에 꼭 가야되는데, 그게 언제인지는 모르겠어."
It's not something anyone can do.,아무나 할 수 있는 것이 아닙니다.
Everyone wants to meet you. You're famous!,"모두가 너를 만나고 싶어해, 너 유명하네!"
I don't speak Japanese.,저는 일본어를 못 해요.
You can't expect me to always think of everything!,내가 뭐든 알거라고 생각하지 마.
It would take me too much time to explain to you why it's not going to work.,왜 안되는지 설명할려면 시간 너무 많이 걸리겠다.
"""What's the matter?"" asked the little white rabbit.","작고 흰 토끼는 ""무슨 일 있니?"" 라고 물어봤습니다."
"""This looks pretty interesting,"" Hiroshi says.",히로시는 이것 재미 있을 것 같다고 말한다.
It is up to you to decide whether we will go there or not.,우리가 가든지 안 가든지는 네가 결정해.
That's a good idea!,그것은 좋은 생각이야!
I don't want to spend the rest of my life regretting it.,저는 남은 인생을 그것에 대해 후회하면서 지내고 싶지 않아요.
I have a dream.,나는 꿈이 있어.
"To be surprised, to wonder, is to begin to understand.","놀라워 하고, 궁금해 하는 것이 이해의 시작이다."
But the universe is infinite.,그러나 우주는 무한하다.
To be perfect she lacked just one defect.,한가지만 빼면 그녀는 완벽해요.
"And yet, the contrary is always true as well.","그러나, 그 반대도 또한 항상 진실이다."
"We don't see things as they are, but as we are.","그 모습 그대로 사물을 보지 않고, 우리 자신의 모습으로 그것을 바라본다."
The world is a den of crazies.,이 세상은 미치광이들의 소굴이다
You look stupid.,너 멍청하게 보여.
My name is Jack.,제 이름은 잭입니다.
I have to go shopping. I'll be back in an hour.,"난 쇼핑 가야되요, 한 시간 안에 돌아올게요."
Italy is a very beautiful country.,이탈리아는 아주 아름다운 나라입니다.
Not wanting is the same as having.,바라는 것이 없으면 부족함이 없다.
It is very hot today.,오늘은 날씨가 매우 덥다.
Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.,당신이 내일 아침에 일어나서 우주가 사라졌다는 것을 알게 된다면 수학은 당신이 계속해서 연구할 수 있는 과학의 한 부분입니다.
I have a headache.,나 머리 아파.
"The past can only be known, not changed. The future can only be changed, not known.",과거는 되돌릴 수 없습니다. 미래는 알 수 없는 것이지만 바꿀 수 있는 것입니다.
"There's no point saying ""Hi, how are you?"" to me if you have nothing else to say.","다른 할 말이 없으면, 나한테 인사할 필요가 없어."
"In a dictionary like this one there should be at least two sentences with ""fridge"".",이러한 사전에는 냉장고에 대한 적어도 두가지의 예문이 있어야 한다.
You didn't tell him anything?,너 그 사람에게 아무말도 안했지?
I love lasagna.,저는 라자냐를 좋아해요.
I don't want to go to school.,난 학교에 가기 싫어.
Even people who don't believe in the Catholic church venerate the Pope as a symbolic leader.,가톨릭교를 믿지 않는 사람들조차 교황을 상징적인 리더로 우러러본다.
I'm almost done.,거의 다 헸습니다.
The world doesn't revolve around you.,세계는 너를 중심으로 돌아가지 않는다.
"Holy crap, who's the asshole who dares call me in the middle of the night?!","세상에, 감히 나한테 한밤중에 전화거는 놈이 누구야?!"
Remember that we are all in the same boat.,우리 모두가 같은 한 배를 탔다는 걸 기억해라.
I am four months pregnant.,나는 임신 4개월이다.
"Like father, like son.",그 아빠에 그 아들.
He's a good person.,그는 좋은 사람이다.
The situation is worse than we believed.,상황은 우리가 생각했던 것보다 나쁘다.
I don't agree with him.,난 그에게 동의하지 않아.
"Happy birthday, Muiriel!",생일 축하해 Muiriel!
Can you ride a horse?,너 말을 탈 줄 아니?
You must study hard.,너 공부 열심히 해야 해.
Do you believe in God?,신의 존재를 믿니?
You had better not see her now.,그녀는 지금 안 만나는 것이 좋았어.
You have to go.,넌 가야 해요.
You may go anywhere.,당신은 어디든 가도 돼요.
Can you swim?,너 수영할 수 있니?
"I can hear you, but I can't see you.","너를 들을 수 있지만, 볼 수 없어요."
It is not my part to meddle in your affairs.,너의 일에 간섭하는 게 내 일이 아니다.
Your work didn't come up to our expectations.,네가 한 일은 기대에 못 미쳤어.
Your study will bear fruit.,너의 연구는 열매를 맺을 거야.
Your plan is of no earthly use.,네 계획은 전혀 쓸모가 없어.
You took the words right out of my mouth.,바로 그게 내가 하고 싶은 말이었다.
You took the words right out of my mouth.,그게 내가 하고 싶은 말이었다.
You took the words right out of my mouth.,내 말이 바로 그 말이다.
We want you to sing the song.,우리는 네가 그 노래를 불렀으면 좋겠다.
I love you more than you love me.,네가 나를 사랑하는 것 보다 내가 너를 더 사랑해.
I'll stay here till you get back.,나는 네가 돌아올 때까지 여기에 있을 것이다.
How far is it from the airport to the hotel?,공항에서부터 호텔까지는 거리가 얼마나 됩니까?
"Seen against the sky, the mountain looked really beautiful.",하늘을 마주해서 보면 그 산은 참 예뻐 보였다.
"Seen against the sky, the mountain looked really beautiful.",하늘을 배경 삼아 그 산은 참 예뻐 보였다.
"No pain, no gain.",부뚜막의 소금도 집어넣어야 짜다.
Open your book to page nine.,그 책 9쪽을 펴시오.
Is the bank open?,은행 문 열었어요?
The price of gold varies from day to day.,금값은 매일 변한다.
Wages vary in relation to the age of the worker.,봉급은 노동자의 나이에 따라 변한다.
I rushed out of my house.,나는 집에서 뛰쳐나갔다.
He stayed there during the vacation.,그 사람은 거기서 휴가를 보냈다.
Please forgive me for not having written for a long time.,오랫동안 편지를 못 써서 죄송해요.
Smoking means suicide.,흡연은 자살을 의미한다.
"Hello, I have a reservation, my name is Kaori Yoshikawa. Here is the confirmation card.","안녕하세요,예약을 했는데요, 제이름은 카오리 요시카와 입니다. 확인카드는 여기있습니다."
All that glitters is not gold.,반짝이는 것이 모두 금은 아니다.
